title,min,max
仕事をする上で必要な能力・資質,あっちゃダメ,必要
眠くなるもの,目が覚める,眠くなる
見た目が子供に戻ったならしたいこと,したくない,したい
馬主になって考えよう 速そうな馬の名前,速くなさそう,速そう
投げたいもの,投げたくない,投げたい
勇気ある行動,勇気ない,勇気ある
芸能事務所の社長になって考えよう 所属芸能人が起こしたら大変な事件,大変じゃない,大変
包まれたいもの,包まれたくない,包まれたい
砂漠で遭難したときにほしいもの,いらない,ほしい
超能力になって考えよう 友人の脳内を読んだらショックだった考え,少しショック,超ショック
ずっと見ていられるもの,見ていられない,見ていられる
死ぬまでにしたいこと,しなくてもいい,したい
ヒーローになって演じよう カッコいいポーズ（実際にやる）,カッコわるい,カッコいい
なつかしさを感じるもの・こと,感じない,感じる
テストでその点を取ったときの反応,1点,100点
母になって考えよう 子供が寝言で言っていたら嬉しいこと,嬉しくない,嬉しい
便利なスマホアプリ,不要,便利
叫ぶと必殺技っぽい言葉（創作OK）,ぽくない,ぽい
芸能人になって考えよう 「これドッキリじゃね？」と疑うできごと,考えすぎ,ドッキリっぽい
足の速い動物,遅い,速い
これは恋か愛か,恋,愛
人間関係で必要な能力・資質,あっちゃダメ,必要
おみやげにもらったら嬉しいもの,嬉しくない,嬉しい
奇跡の体験,少し奇跡,超奇跡
タイムトラベラーになって考えよう 過去から持って帰りたいもの,いらない,持って帰りたい
朝ごはんに食べたいもの,食べたくない,食べたい
お尻から出てきたらビックリするもの,少しビックリ,超ビックリ
科学者になって考えよう 発明したい薬,したくない,したい
踏んだら痛そうなもの,痛くない,痛い
SNSでめちゃくちゃいいねされそうな投稿,いいねされなさそう,いいねされそう
人物やキャラクターのイメージ,クール,パッション
疲れたときにしたいこと,したくない,したい
あったらおいしそうなアイスクリームの味,おいしくなさそう,おいしそう
赤ちゃんになって考えよう 最高の瞬間,最悪,最高
家にある便利なもの,便利じゃない,便利
5歳児が言ったらビックリする言葉,少しビックリ,超ビックリ
魔王になって考えよう こんな勇者はイヤだ,余裕,イヤだ
大学生が反応する言葉,反応しない,反応する
機嫌がいいときにしそうな行動,しなさそう,しそう
リーダーにとって必要な能力・資質,あっちゃダメ,必要
友達になりたい人の特徴,なりたくない,なりたい
人生の中で、やる回数が多いこと,少ない,多い
愛されていると思うこと,愛されていない,愛されている
